numeration,label,text
,Z.K2-1-1,"Entscheidungen der KI müssen Grundsätzen der Interpretierbarkeit entsprechen. Dies muss möglicherweise nach der Entscheidung manuell geprüft werden und könnte insgesamt zu Mehrkosten führen."
,Z.P3-1,"Die jurKI trifft auch fehlerhafte Entscheidungen. Die Folgen struktureller Fehler wären gravierend, da die jurKI sie wiederholen würde, bis sie erkannt werden."
,Z.P3-1-2,"Das Ausmaß der Schäden durch fehlerhafte Urteile der jurKI unterscheidet sich nicht wesentlich vom Ausmaß der Schäden fehlerhafter Urteile von Richter:innen."
,Z.K11-1,"Die Übermittlung von Entscheidungen findet schon lange über andere Kanäle als den Menschen statt. An den Postweg sowie das E-Mail-Postfach haben sich Menschen schnell gewöhnt. Sie werden sich auch an eine KI gewöhnen."
,Z.K10-1,"Hochqualitative Trainigsdaten sorgen dafür, dass die jurKI wenige Fehler macht. Zudem wird sich die Fehlerrate der jurKI mit der Zeit verbessern durch zunehmende Trainigsdaten und optimierte Abläufe. Im seltenen Fall falscher Entscheidungen sichert der Instanzenzug, dass Gerechtigkeit in einer höheren Instanz geschaffen wird."
,Z.K10-1,"Hochqualitative Trainigsdaten sorgen dafür, dass die jurKI wenige Fehler macht und die Fehlerrate der jurKI wird sich mit der Zeit durch Trainigsdaten und optimierte Abläufe verbessern. Sollte es trotzdem zu falschen Entscheidungen kommen, sichert der Instanzenzug die Herstellung von Gerechtigkeit durch eine höhere Instanz."
,Z.K6-3,"Zum Training der KI werden gezielt Datensätze verwendet, die aus ethischen Grundsätzen bestehen. Erst wenn der Einsatz der KI bei alten Falldaten, die nicht zum Training verwendet wurden, zuverlässig funktioniert, wird sich die KI in der Rechtssprechung verwendet."
,Z.P3-1-1,"Eine KI kann theoretisch unendlich weiter lernen. Anders als bei menschlichen Richter:innen wird sich daher die Fehlerrate stetig verbessern."
,Z.P4-1,"Die Güte einer KI ist durch die Qualität und Quantität der Trainigsdaten sowie der zugrunde liegenden Algorithmen beschränkt. Alle Korrelationen in einer Unmenge komplexer Daten zu finden wird der KI nicht gelingen."
,Z.P3-1-2,"Die Tragweite von menschlichen Fehlentscheidungen im Gericht unterscheidet sich nicht von der Reichtweite der Schäden, die fehlerhafte Urteile der jurKI anrichten könnten."
,Z.P8-2,"Es ist damit zu rechnen, dass viele Urteile der jurKI in Berufung gehen werden, sodass sich keine Kostenersparnis durch den Einsatz von KI ergibt."
,FAQ.3-1,"Instanzen sind Stufen oder Ebenen in der Gerichtsbarkeit, d.h. in der Organisation und dem Verfahren von Gerichten. Durchlaufen werden können in Deutschland drei Instanzen. Durch Berufung gegen das Urteil in niedrigerer Instanz kann das Urteil in höherer Instanz möglicherweise geändert werden."
,Z.K6-2,"Der KI können gezielt juristische Werte durch entsprechend gelabelte und hochqualitative Trainingsdatensätze beigebracht werden. Die Güte des Trainings lässt sich an konkreten Falldaten überprüfgen und insbesondere die Präzision des Algorithmus lässt sich messen und optimieren bis die KI einsatzfähig ist."
,FAQ.5-1,"Eine Grundannahme unseres Szenarios ist, dass das Rechtssystem frei von Widersprüchen ist und somit durch eine KI erlernbar ist."
,Z.K7-2,"Da die KI nur in erster Instanz eingesetzt wird, wird die Rechtssprechung in höheren Stufen des Instanzenzuges auch zukünftig durch menschliche Richter:innen erfolgen."
,Z.K2-1-1,"Ein Anstieg der Kosten könnte dadurch stattfinden, dass die Urteile der KI häufig manuell geprüft werden müssen, denn diese müssen mit den Grundsätzen der Interpretierbarkeit übereinstimmen."
,Z.K10-2,"Die KI liefert ein Maß für die Zuverlässigkeit ihrer Entscheidung und erst wenn ein gewisser Schwellenwert überschritten wird, übernehmen menschliche Richter:innen den Fall."
,Z.K12-1,"Da neue Technologien neue Möglichkeiten eröffnen, muss über eine Anpassung der zeitgenössischen Grundsätze nachgedacht werden."
,Z.P8-1,"Kosten sind nicht wichtig im Entscheidungsfindungsprozess. Es gilt Gerechtigkeit zu schaffen, dabei spielen Kosten nur eine unbedeutende Nebenrolle."
,Z.P3-1,"Strukturelle Fehler der Programmierung der KI haben eine enorme Tragweite. Sie würden sich mit jedem entsprechenden Fall wiederholen und können unerkannt schwerwiegende Schäden anrichten."
,Z.K2-1,"Die KI als textverarbeitendes System kann wohlbegründet auf entsprechende Stellen ihres Regelwerkes verweisen und in menschenähnlicher und verständlicher Weise ihre Entscheidung darlegen."
,FAQ.2-1,"Es treten kaum ethische Probleme auf, wenn KI nur als Mittel eingesetzt wird, um die Arbeit von Richter:innen zu erleichtern. Dies findet bereits umfassend statt und ist relativ unbedenklich. Diskutiert werden soll, ob die KI die volle Entscheidungsgewalt eines:r Richters:in haben soll."
,Z.K2-1-1-2,"Die Offenlegung des Regelwerkes durch das Rechtswesen sorgt dafür, dass keine weiteren Kosten zu Stande kommen."
,Z.P1-1-1,"Zwar gibt es eine Ermessensmacht innerhalb der Rechtssprechung, jedoch sind Richter:innen in ihrer Entscheidungsmacht an das Gesetz gebunden."
,Z.K11-1,"Der mangelnde menschliche Aspekt ist lediglich eine Frage der Gewöhnung und damit eine Zeitfrage. Dass erwachsene Menschen täglich viele Stunden vor digitalen Geräten verbringen zeigt, dass der menschliche Aspekt immer unwichtiger wird."
,Z.P1-2,"Die Menschlichkeit und Unterschiedlichkeit verschiedener Richter:innen spielt eine wichtige Rolle: Insbesondere das Familienrecht erfordert oft sehr individuelle Urteile, die das Ergebnis komplexer Abwägungen sind und von KI nicht geleistet werden können."
,FAQ.4-1,"Die Grundlage der KI sind Rechtsvorschriften und regelbasierte Anweisungen. Zudem gehören zu den Regeln ethische Werte und die KI gewinnt Wissen durch das Traning mit konkreten, diskriminierungsfreien Falldaten, von deren Qualität ihre Leistung wesentlich abhängt."
,Z.K2-1-2,"Die Gründe, welche eine KI für ihre Entscheidung liefert, könnten fehlerhaft sein. So gesehen könnten Urteile der KI also ""auf unaufrichtige Weise"" getroffen werden."
,Z.K2-1-2,"Die Gründe und Parameter, welche die KI für ihre Entscheidung liefert, könnten fehlerhaft sein. So gesehen könnte die KI ""auf unaufrichtige Weise"" urteilen."
,Z.K9-1,"An neue Technologien gewöhnen sich Menschen schnell wenn anfängliche Berührungsängste überwunden sind und Vertrauen geschaffen wurde. So stieg zum Beispiel die Akzeptanz für neue Technologien während der Corona-Pandemie enorm."
,FAQ.1-1,"Die jurKi entscheidet ausnahmslos Fälle des Zivilrechts ohne das Familienrecht mit einzubeziehen. Ferner ist auch das Strafrecht kein Teil des Einsatzgebietes der jurKI."
,Z.K6-1,"Dier jurKI wird mit diskriminierungsfreien Falldaten trainiert und lernt systematisch aus vorgegebenen moralischen Leitlinien und Werten."
,Z.K7-1,"Menschliche Richter:innen werden auch künftig gebraucht. Sie implementieren die Sachlage, indem sie eine Rechtsvorschrift in die Praxis umsetzen und ihr somit Wirkung verleihen. In höheren Instanzen werden Richter:innen wie bisher eingesetzt."
,Z.K2-1-2-1,"Bei einer KI fällt es deutlich leichter zu differenzieren zwischen der von ihr gelieferten Begründung für ihre Entscheidung und der Rationalisierung."
,Z.K2-1-1-2,"Weitere Kostenfaktoren werden durch Interpretierbarkeitsregeln nicht aufkommen, da das Gericht sein Regelwerk offenlegt."
,Z.K10-1,"Auch eine KI fällt manchmal falsche Entscheidungen. Dies sollte in einem gewissen Rahmen akzeptiert werden, denn auch menschliche Richter:innen irren sich manchmal. Das mehrgliedrige Rechtssystem sorgt dafür, dass die Prozessakteure trotzdem geschützt bleiben."
,Z.K6-1,"Die jurKI gibt als ein vom Staat zertifizierter Service moralische Leitlinien und Regeln vor. Um diese zu bestimmen, werden Erkenntnisse der Philosophie und der Computerwissenschaft berücksichtigt, die anschließend beispielsweise in ein passendes Diskriminierungsgesetz übertragen werden."
,Z.P3-1,"Indem die JurKI bei gleichem Input immer das gleiche Ergebnis liefern würde, hätte ein struktureller Fehler bei der KI gravierende Folgen. Bis dieser erkannt würde, würden sich, anders als bei einem Menschen, die Fehler gleichzeitig in vielen Entscheidungen strukturell wiederholen."
,FAQ.3-1,"Instanzen stellen als organisatorische Einheit des Rechtssystems ein Kontrollorgan für Gerichtsentscheidungen der jeweils niedrigeren Instanz dar. Insgesamt können so durch Berufung gegen das Urteil der niedrigeren Instanz bis zu drei Instanzen durchlaufen werden."
,Z.K11-1,"Die Menschen in Deutschland lassen Maschinen in immer mehr Lebensbereichen mitwirken und sich von Algorithmen beraten, warum sollten also nicht auch in der Rechtsprechung Entscheidungen von KI getroffen werden?"
,Z.K7-1,"Durch das Einsetzen von jurKI würden Richter:innen nicht abgeschafft. JurKI würde nur die Entscheidungsfindung und -verkündung in erster Instanz ersetzen, während für die Implementierung der Sachlage in erster Instanz und die normalen Richtertätigkeiten in den höheren Instanzen weiterhin Richter:innen benötigt werden."
,Z.P4-1,"Die jurKI ist auf Algorithmen, Datenqualität und Rechenleistung beschränkt. Es wird daher immer Faktoren geben, die die KI nicht mehr erfasst. Ein Mensch hat diese Einschränkung dagegen nicht und könnte weitere Faktoren erfassen."
,Z.K2-1-1,"Es besteht das Risiko enormer Mehrkosten durch die manuelle Überprüfung der Entscheidungen der jurKI auf das Einhalten der Interpretierbarkeitsregeln."
,Z.P3-1-2,"Ob ein:e menschliche:r Richter:in fehlerhaft urteilt oder das falsche Urteil von der KI verkündet wird unterscheidet sich nicht in der Auswirkung auf die Verurteilten."
,FAQ.1-1,"In diesem Szenario ist für die KI nur das Zivilrecht, welches vom öffentlichen Recht und vom Strafrecht zu unterscheiden ist, vorgesehen. Jedoch nehmen wir vom Zivilrecht das Familienrecht, welches oft stark individuelle Lösungen erfordert, aus."
,Z.K12-1,"Normen und Vorschriften müssen sich anpassen und erweitern, um auf neue Bedingungen zu reagieren. Der Einsatz von KI erfordert neue Grundsätze."
,FAQ.2-1,"Unsere Problemstellung lässt bewusst eine rein unterstützende KI außen vor, da wir bei einer solchen KI nur sehr wenige ethische Probleme sehen. Das Durchdenken der Vertretbarkeit einer autonom entscheidenden jurKI liefert viel mehr Disskussionsstoff und bereitet auf eine mögliche Zukunft vor."
,Z.K9-1,"Technische Neuerungen werden zwar misstrausch beäugt, jedoch zunehmend wegen ihres Poten­zials akzeptiert. Hinzu kommt, dass immer mehr Menschen mit neuen Technologien aufwachsen und diese als selbstverständlich betrachten."
,Z.K6-3,"Der KI wird ein ethisches Rahmenwerk beigebracht, das in Einklang steht mit den Grundsätzen diverser Ethikkomissionen."
,Z.K7-2,"Menschliche Richter:innen werden weiterhin gebraucht, vor Allem in höheren Instanzen und dem Strafrecht. Die KI wird zunächst nicht im Familienrecht und insbesondere nicht im Strafrecht eingesetzt werden."
,FAQ.5-1,"In diesem Szenario wird mit der Grundannahme gearbeitet, dass ein widerspruchsfreies Rechtssystem vorliegt. So wird eine konfliktarme Funktionsweise der KI gewährleistet."
,Z.P8-2,"Berufungen werden dazu führen, dass viele Fälle trotz KI in höherer Instanz verhandelt werden müssen. Insbesondere das fehlende Vertrauen in KI wird zu Berufungen führen, sodass insgesamt nicht von einer Kostenersparnis auszugehen ist."
,Z.K10-2,"Die jurKI liefert einen Wahrscheinlichkeitswert für die Sicherheit ihrer Entscheidung. Menschliche Richter:innen übernehmen die schwierigen Fälle und solche, bei denen die KI nicht sicher ist."
,FAQ.4-1,"Die KI wird als regelgeleitetes System in erster Linie aus Gesetzestexten lernen. Zudem wird ein ethisches Framework aufgesetzt, welches die Entscheidungen der KI beeinflusst. Mit konkreten Falldaten wird die KI trainiert und hängt daher wesentlich von deren Qualität ab."
,Z.P8-1,"In der Rechtssprechung gilt es Recht und Unrecht festzustellen. Die Frage nach den Kosten hat dabei nur geringes Gewicht."
,Z.P1-2,"Menschliche Richter:innen fällen im Rahmen einer gewissen Ermessensmacht oft verschiedene Urteile aufgrund verschiedener, aber richtiger Abwägungen. Das Rechtssystem lässt Ihnen gewisse Spielräume, um individuelle Lösungen offen zu lassen und Gerechtigkeit zu fördern."
,Z.K2-1,"Die KI kann auf Nachfrage stets alle relevanten Informationen offenlegen, die zu ihrer Entscheidunge geführt haben. Sie handelt transparent und nachvollziehbar."
,Z.P1-1-1,"Die gesetzte Rechtsordnung und konkrete Gesetzestexte bestimmen das Wesen einer richterlichen Entscheidung. Es findet menschliche Subjektivität dabei nur in geringem Maße Einzug in rechtskräftige Urteile."
,Z.P3-1-1,"Die Fehlerrate eines lernfähigen Systems wie der KI wird sich stetig verbessern. Ihr Einsatz findet natürlich erst dann statt wenn sie menschlichen Entscheidungsträgern deutlich überlegen ist."
,Z.K6-2,"Es gibt Verfahren, in denen der KI Werte antrainiert werden können. Dazu werden vollständig gekennzeichnete Datensätze verwendet, die entsprechende Werte erlernbar machen."
,Z.K2-1-2-1,"Die wahrscheinlichkeitsbasierten Entscheidungen der KI lassen sich transparent nachvollziehen. Bei menschlichen Richter:innen ist nur schwer erkennbar zu welchem Grad bei Ihnen Begründung und Rationalisierung zusammenfallen."
